id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,metode_kb,jenis_kb,jumlah_peserta,satuan,tahun
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,OBAT VAGINA,0,ORANG,2018
71,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,PIL,11049,ORANG,2018
72,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,SUNTIK,105518,ORANG,2018
73,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,IMPLAN,24680,ORANG,2018
74,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,IUD,22103,ORANG,2018
75,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,MOP,2165,ORANG,2018
76,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,MOW,15974,ORANG,2018
77,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON MKJP,KONDOM,10023,ORANG,2018
78,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON MKJP,LAINNYA,0,ORANG,2018
79,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON MKJP,OBAT VAGINA,0,ORANG,2018
80,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON MKJP,PIL,55356,ORANG,2018
81,32,JAWA BARAT,3209,KABUPATEN CIREBON,NON MKJP,SUNTIK,221731,ORANG,2018
82,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MKJP,IMPLAN,13345,ORANG,2018
83,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MKJP,IUD,10458,ORANG,2018
84,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MKJP,MOP,2206,ORANG,2018
85,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MKJP,MOW,10579,ORANG,2018
86,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON MKJP,KONDOM,2394,ORANG,2018
87,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON MKJP,LAINNYA,0,ORANG,2018
88,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON MKJP,OBAT VAGINA,0,ORANG,2018
89,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON MKJP,PIL,32720,ORANG,2018
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NON MKJP,SUNTIK,145431,ORANG,2018
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MKJP,IMPLAN,12153,ORANG,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MKJP,IUD,15629,ORANG,2018
93,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MKJP,MOP,474,ORANG,2018
94,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MKJP,MOW,7489,ORANG,2018
95,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON MKJP,KONDOM,1388,ORANG,2018
96,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON MKJP,LAINNYA,0,ORANG,2018
97,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON MKJP,OBAT VAGINA,0,ORANG,2018
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON MKJP,PIL,27308,ORANG,2018
99,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NON MKJP,SUNTIK,108275,ORANG,2018
100,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MKJP,IMPLAN,18638,ORANG,2018
101,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MKJP,IUD,8734,ORANG,2018
102,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MKJP,MOP,3379,ORANG,2018
103,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MKJP,MOW,5505,ORANG,2018
104,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON MKJP,KONDOM,4223,ORANG,2018
105,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NON MKJP,LAINNYA,0,ORANG,2018
